Player,College,Height,Weight,College_Rec,College_Yards,College_TDs,YPG,Scenario,Draft_Round,RF_Pred_AV,XGB_Pred_AV,Avg_Pred_AV,Production_Score
Omari Kelly,Michigan State,72.0,188.0,44.0,602.0,9.0,50.2,Round 1 (Elite Picks 1-32),1,15.4,5.3,10.3,62.32
Kenny Johnson,Pittsburgh,73.0,205.0,43.0,597.0,9.0,49.8,Round 1 (Elite Picks 1-32),1,7.3,6.1,6.7,61.77
Jordan Shipp,North Carolina,74.0,190.0,55.0,560.0,8.0,46.7,Round 1 (Elite Picks 1-32),1,8.6,6.8,7.7,61.45
Deion Burks,Oklahoma,69.0,188.0,56.0,589.0,8.0,45.3,Round 1 (Elite Picks 1-32),1,26.3,21.0,23.6,61.339999999999996
Duane Thomas Jr.,UCF,68.0,175.0,53.0,554.0,8.0,46.2,Round 1 (Elite Picks 1-32),1,7.6,4.1,5.8,60.54
Yamir Knight,SMU,68.0,186.0,50.0,564.0,8.0,47.0,Round 1 (Elite Picks 1-32),1,7.6,4.1,5.8,60.14
Jaron Tibbs,Kansas State,74.0,212.0,46.0,582.0,8.0,48.5,Round 1 (Elite Picks 1-32),1,6.9,4.5,5.7,59.87
Jordan Faison,Notre Dame,70.0,183.0,45.0,587.0,8.0,48.9,Round 1 (Elite Picks 1-32),1,6.7,4.1,5.4,59.82000000000001
Terrell Anderson,NC State,74.0,204.0,38.0,622.0,9.0,47.8,Round 1 (Elite Picks 1-32),1,6.9,6.8,6.9,59.52
Joseph Manjack IV,TCU,75.0,205.0,42.0,556.0,8.0,50.5,Round 1 (Elite Picks 1-32),1,23.7,20.2,22.0,59.41
Dalen Cobb,Georgia Southern,69.0,180.0,56.0,513.0,7.0,46.6,Round 1 (Elite Picks 1-32),1,12.4,7.9,10.2,59.230000000000004
Cole Weaver,Miami (OH),77.0,220.0,41.0,588.0,8.0,49.0,Round 1 (Elite Picks 1-32),1,5.0,4.0,4.5,58.68
Chauncey Spikes,North Carolina Central,74.0,200.0,42.0,542.0,8.0,49.3,Round 1 (Elite Picks 1-32),1,6.3,4.1,5.2,58.669999999999995
Tony Freeman,Washington State,68.0,171.0,53.0,531.0,8.0,40.8,Round 1 (Elite Picks 1-32),1,7.5,4.1,5.8,57.61
Raylen Sharpe,Arkansas,69.0,165.0,40.0,572.0,8.0,47.7,Round 1 (Elite Picks 1-32),1,13.1,5.3,9.2,57.57
Tre Richardson,Vanderbilt,70.0,175.0,40.0,527.0,8.0,47.9,Round 1 (Elite Picks 1-32),1,7.2,4.1,5.6,57.22
Latrell Caples,Boise State,72.0,191.0,47.0,558.0,8.0,42.9,Round 1 (Elite Picks 1-32),1,45.2,29.6,37.4,57.129999999999995
DT Sheffield,Rutgers,70.0,175.0,42.0,551.0,8.0,45.9,Round 1 (Elite Picks 1-32),1,7.0,4.1,5.5,57.06
Romello Brinson,SMU,74.0,190.0,40.0,517.0,7.0,51.7,Round 1 (Elite Picks 1-32),1,40.6,29.9,35.2,57.02
Deuce Alexander,Ole Miss,72.0,175.0,43.0,596.0,9.0,39.7,Round 1 (Elite Picks 1-32),1,7.5,4.1,5.8,56.71
Cyrus Allen,Cincinnati,71.0,180.0,44.0,567.0,8.0,43.6,Round 1 (Elite Picks 1-32),1,10.7,7.9,9.3,56.67
Eric Singleton Jr.,Auburn,70.0,180.0,52.0,487.0,7.0,44.3,Round 1 (Elite Picks 1-32),1,6.6,4.1,5.3,56.62
Coy Eakin,Texas Tech,74.0,210.0,45.0,552.0,8.0,42.5,Round 1 (Elite Picks 1-32),1,8.0,7.8,7.9,56.269999999999996
Yannick Smith,East Carolina,75.0,207.0,40.0,503.0,7.0,50.3,Round 1 (Elite Picks 1-32),1,4.8,4.0,4.4,56.18
